鄉鎮市區,土地面積平方公尺,租賃年月日,租賃層次,建物型態,單價元平方公尺
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
北投區,86.66,1120202,一層,店面(店鋪),333
南港區,47.79,1120131,七層,廠辦,280
松山區,27.33,1120206,六層,華廈(10層含以下有電梯),373
大同區,11.53,1120208,六層,住宅大樓(11層含以上有電梯),262
大安區,6.56,1120214,八層,住宅大樓(11層含以上有電梯),380
內湖區,26.92,1120118,一層,公寓(5樓含以下無電梯),547
中正區,32.26,1120215,四層,辦公商業大樓,275
松山區,1.94,1120109,十九層,住宅大樓(11層含以上有電梯),542
中山區,82.6,1120214,三層,公寓(5樓含以下無電梯),375
大同區,104.79,1120215,十四層,住宅大樓(11層含以上有電梯),401
松山區,27.49,1120210,一層,店面(店鋪),429
北投區,2556.44,1120218,一層,店面(店鋪),588
北投區,404.0,1120220,三層,華廈(10層含以下有電梯),302
信義區,20.8,1120112,五層,華廈(10層含以下有電梯),314
信義區,5.78,1120101,一層,店面(店鋪),1009
松山區,9.45,1120220,六層,住宅大樓(11層含以上有電梯),494
北投區,20.68,1120220,四層,公寓(5樓含以下無電梯),271
士林區,39.0,1120220,五層,公寓(5樓含以下無電梯),164
中山區,27.93,1110831,一層,華廈(10層含以下有電梯),537
內湖區,8.79,1120206,六層,華廈(10層含以下有電梯),374
中正區,5.36,1120221,五層,公寓(5樓含以下無電梯),360
中山區,12.77,1110705,一層,華廈(10層含以下有電梯),428
大安區,35.79,1120215,四層,公寓(5樓含以下無電梯),285
中山區,4.96,1120224,五層,住宅大樓(11層含以上有電梯),526
松山區,12.69,1120202,一層,華廈(10層含以下有電梯),685
信義區,36.11,1120216,一層,華廈(10層含以下有電梯),310
松山區,46.5,1120222,一層,公寓(5樓含以下無電梯),615
信義區,12.21,1120202,一層,店面(店鋪),299
中山區,20.5,1120223,二層,公寓(5樓含以下無電梯),459
內湖區,10.4,1120228,一層,住宅大樓(11層含以上有電梯),292
士林區,29.75,1120222,三層,公寓(5樓含以下無電梯),312
大安區,24.16,1120113,七層,辦公商業大樓,679
