鄉鎮市區,土地面積平方公尺,租賃年月日,租賃層次,建物型態,單價元平方公尺
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
松山區,45.47,1071127,一層,公寓(5樓含以下無電梯),390
中山區,111.28,1071229,二層,店面(店鋪),737
內湖區,52.28,1080131,六層,廠辦,427
南港區,49.98,1080115,八層,住宅大樓(11層含以上有電梯),584
文山區,14.87,1080127,十四層,住宅大樓(11層含以上有電梯),230
內湖區,4.6,1080113,六層,辦公商業大樓,414
內湖區,26.39,1080201,五層,公寓(5樓含以下無電梯),225
松山區,15.94,1080110,七層,套房(1房1廳1衛),550
信義區,4.62,1080108,一層,華廈(10層含以下有電梯),711
松山區,504.0,1080101,一層,華廈(10層含以下有電梯),215
大安區,11.22,1080103,七層,住宅大樓(11層含以上有電梯),503
中山區,74.87,1080130,一層,公寓(5樓含以下無電梯),254
中山區,41.13,1080125,一層,住宅大樓(11層含以上有電梯),677
中正區,130.7,1080122,三層,華廈(10層含以下有電梯),267
中山區,9.43,1080128,四層,住宅大樓(11層含以上有電梯),353
中山區,74.93,1080123,一層,公寓(5樓含以下無電梯),1335
松山區,90.82,1080109,一層,住宅大樓(11層含以上有電梯),1427
信義區,58.83,1080130,一層,華廈(10層含以下有電梯),637
大安區,331.0,1071125,一層,華廈(10層含以下有電梯),777
內湖區,36.31,1080218,一層,店面(店鋪),365
中山區,40.0,1071219,一層,公寓(5樓含以下無電梯),601
文山區,49.25,1080130,四層,公寓(5樓含以下無電梯),169
信義區,41.31,1080107,六層,住宅大樓(11層含以上有電梯),351
中山區,99.0,1080102,全,透天厝,1160
內湖區,60.38,1080122,一層,公寓(5樓含以下無電梯),316
松山區,8.0,1080222,一層,店面(店鋪),1159
信義區,9.15,1080222,三層,住宅大樓(11層含以上有電梯),531
信義區,27.5,1080203,一層,店面(店鋪),1349
松山區,45.87,1080223,七層,住宅大樓(11層含以上有電梯),325
松山區,35.13,1080201,一層,公寓(5樓含以下無電梯),426
中山區,25.86,1080301,二層,華廈(10層含以下有電梯),311
松山區,41.0,1080304,一層,公寓(5樓含以下無電梯),294
松山區,15.69,1080227,三層,辦公商業大樓,314
松山區,11.29,1080227,七層,住宅大樓(11層含以上有電梯),338
大安區,1384.0,1080215,三層,辦公商業大樓,571
大安區,7.07,1080306,八層,辦公商業大樓,417
南港區,38.67,1080210,三層,公寓(5樓含以下無電梯),231
大安區,9.05,1080307,一層,店面(店鋪),1162
大安區,25.69,1080212,二層,華廈(10層含以下有電梯),360
內湖區,35.48,1080214,一層,公寓(5樓含以下無電梯),365
松山區,2.31,1080225,十九層,住宅大樓(11層含以上有電梯),577
松山區,14.7,1080224,四層,住宅大樓(11層含以上有電梯),333
松山區,12.44,1080218,六層,住宅大樓(11層含以上有電梯),287
南港區,45.48,1080221,一層,店面(店鋪),305
大安區,21.3,1080311,一層,華廈(10層含以下有電梯),464
內湖區,19.16,1080304,一層,店面(店鋪),721
北投區,28.27,1080131,三層,住宅大樓(11層含以上有電梯),296
中正區,17.0,1080222,三層,華廈(10層含以下有電梯),372
內湖區,26.85,1080311,四層,住宅大樓(11層含以上有電梯),335
松山區,56.75,1080131,一層,華廈(10層含以下有電梯),291
松山區,35.5,1080306,一層,公寓(5樓含以下無電梯),431
大安區,21.75,1080128,十六層,辦公商業大樓,407
大安區,17.58,1080131,一層,店面(店鋪),718
中山區,106.68,1080312,七層,住宅大樓(11層含以上有電梯),636
大安區,17.34,1080219,七層,華廈(10層含以下有電梯),686
大安區,54.14,1080315,一層,店面(店鋪),483
內湖區,1.0,1080226,二層,廠辦,352
南港區,108.0,1080312,NA,其他,241
內湖區,154.46,1080311,一層,華廈(10層含以下有電梯),321
內湖區,23.57,1080315,全,透天厝,456
信義區,25.91,1080215,四層,公寓(5樓含以下無電梯),232
中山區,105.0,1080211,一層,公寓(5樓含以下無電梯),357
士林區,265.0,1080315,三層,辦公商業大樓,298
